original_path	before_bytes	after_bytes	width	height	mode	status	new_path
public/icons/avatar/Anne-v1.1.png	168087	38472	408	612	RGBA	CONVERTED	public/icons/avatar/Anne-v1.1.webp
public/icons/avatar/anne.png	1672759	409210	1024	1024	RGBA	CONVERTED	public/icons/avatar/anne.webp
public/icons/donatii/coffee-cup.png	14373	8612	512	512	RGBA	CONVERTED	public/icons/donatii/coffee-cup.webp
public/icons/donatii/paypal.png	19755	19755	512	512	RGBA	KEPT_SMALLER_OR_EQUAL	
public/icons/donatii/revolut.png	956	628	50	50	RGBA	CONVERTED	public/icons/donatii/revolut.webp
public/icons/icon detalii/4k.png	454	454	24	24	RGBA	KEPT_SMALLER_OR_EQUAL	
public/icons/icon detalii/chapter.png	588	588	24	24	RGBA	KEPT_SMALLER_OR_EQUAL	
public/icons/icon detalii/fhd.png	427	427	24	24	RGBA	KEPT_SMALLER_OR_EQUAL	
public/icons/icon detalii/hd.png	424	424	24	24	RGBA	KEPT_SMALLER_OR_EQUAL	
public/icons/icon detalii/schedule.png	781	781	24	24	RGBA	KEPT_SMALLER_OR_EQUAL	
public/icons/icon detalii/sd.png	560	560	24	24	RGBA	KEPT_SMALLER_OR_EQUAL	
public/icons/icon detalii/smart-tv.png	348	348	24	24	RGBA	KEPT_SMALLER_OR_EQUAL	
public/icons/icon detalii/time-left.png	669	669	24	24	RGBA	KEPT_SMALLER_OR_EQUAL	
public/icons/info icon/info.png	7391	7391	512	512	P	KEPT_SMALLER_OR_EQUAL	
public/icons/logo anime/bleach.png	474681	195280	2400	1800	RGBA	CONVERTED	public/icons/logo anime/bleach.webp
public/icons/logo anime/d.gray-man.png	240426	71992	904	364	RGBA	CONVERTED	public/icons/logo anime/d.gray-man.webp
public/icons/logo anime/dragon ball.png	182928	41136	500	280	RGBA	CONVERTED	public/icons/logo anime/dragon ball.webp
public/icons/logo anime/fairy tail.png	94988	42992	1024	354	RGBA	CONVERTED	public/icons/logo anime/fairy tail.webp
public/icons/logo anime/gintama.png	430772	98282	750	540	RGBA	CONVERTED	public/icons/logo anime/gintama.webp
public/icons/logo anime/hajime no ippo.png	284488	87960	1280	544	RGBA	CONVERTED	public/icons/logo anime/hajime no ippo.webp
public/icons/logo anime/hxh.png	260679	75086	1280	544	RGBA	CONVERTED	public/icons/logo anime/hxh.webp
public/icons/logo anime/inuyasha.png	195132	44920	688	205	RGBA	CONVERTED	public/icons/logo anime/inuyasha.webp
public/icons/logo anime/naruto.png	168902	157916	2056	876	RGBA	CONVERTED	public/icons/logo anime/naruto.webp
public/icons/logo anime/one piece.png	215030	126996	1920	677	RGBA	CONVERTED	public/icons/logo anime/one piece.webp
public/icons/logo site/anivortex.png	283708	94044	500	500	RGBA	CONVERTED	public/icons/logo site/anivortex.webp
public/icons/media/discord.png	56452	20052	512	512	RGBA	CONVERTED	public/icons/media/discord.webp
public/icons/media/facebook.png	21372	15906	512	512	RGBA	CONVERTED	public/icons/media/facebook.webp
public/icons/media/instagram.png	50896	27030	512	512	RGBA	CONVERTED	public/icons/media/instagram.webp
public/icons/media/tik-tok.png	25374	13012	512	512	RGBA	CONVERTED	public/icons/media/tik-tok.webp
public/icons/media/twitter.png	23628	10814	512	512	RGBA	CONVERTED	public/icons/media/twitter.webp
public/icons/media/youtube.png	15464	15464	512	512	RGBA	KEPT_SMALLER_OR_EQUAL	
public/icons/notification/eye.png	69739	47950	512	512	RGBA	CONVERTED	public/icons/notification/eye.webp
public/icons/search icon/search.png	29497	19492	512	512	RGBA	CONVERTED	public/icons/search icon/search.webp
public/icons/share icon/facebook.png	14788	13346	512	512	RGBA	CONVERTED	public/icons/share icon/facebook.webp
public/icons/share icon/instagram.png	16180	16180	512	512	RGBA	KEPT_SMALLER_OR_EQUAL	
public/icons/share icon/messenger.png	1154441	116506	2048	2048	RGBA	CONVERTED	public/icons/share icon/messenger.webp
public/icons/share icon/tik-tok.png	23798	20836	512	512	RGBA	CONVERTED	public/icons/share icon/tik-tok.webp
public/icons/share icon/twitter.png	23628	10814	512	512	RGBA	CONVERTED	public/icons/share icon/twitter.webp
public/icons/share icon/whatsapp.png	28478	26468	512	512	RGBA	CONVERTED	public/icons/share icon/whatsapp.webp
public/icons/social-media/discord.png	34304	21224	512	512	RGBA	CONVERTED	public/icons/social-media/discord.webp
public/icons/social-media/facebook.png	21372	15906	512	512	RGBA	CONVERTED	public/icons/social-media/facebook.webp
public/icons/social-media/instagram.png	35967	22392	512	512	RGBA	CONVERTED	public/icons/social-media/instagram.webp
public/icons/social-media/tiktok.png	19868	9374	512	512	RGBA	CONVERTED	public/icons/social-media/tiktok.webp
public/icons/social-media/x.png	1176	706	24	24	RGBA	CONVERTED	public/icons/social-media/x.webp
public/icons/social-media/youtube.png	13626	13626	512	512	RGBA	KEPT_SMALLER_OR_EQUAL	
public/icons/user profil/user.png	664	664	24	24	RGBA	KEPT_SMALLER_OR_EQUAL	
public/icons/x/Aka.png	2444138	304672	1536	1024	RGBA	CONVERTED	public/icons/x/Aka.webp
public/icons/x/ChatGPT Image Mar 28, 2026, 08_22_05 AM.png	2136797	180950	1536	1024	RGBA	CONVERTED	public/icons/x/ChatGPT Image Mar 28, 2026, 08_22_05 AM.webp
public/icons/x/ChatGPT Image Mar 28, 2026, 10_22_00 AM.png	2367022	233574	1536	1024	RGBA	CONVERTED	public/icons/x/ChatGPT Image Mar 28, 2026, 10_22_00 AM.webp
public/icons/x/ChatGPT Image Mar 28, 2026, 10_41_45 AM.png	653019	99820	1024	1024	RGB	CONVERTED	public/icons/x/ChatGPT Image Mar 28, 2026, 10_41_45 AM.webp
